FQDN Comments                             date                comment
34.221.186.243                            2022-08-28          ec2-34-221-186-243.us-west-2.compute.amazonaws.com					
34.221.255.206                            2022-08-28          ec2-34-221-255-206.us-west-2.compute.amazonaws.com										
34.222.229.130                            ?                   ?				
34.222.237.95                             2022-08-28          ec2-34-222-237-95.us-west-2.compute.amazonaws.com									
34.222.98.48                              2022-07-02          forum-tip, not verified by astromeier
35.157.61.61                              2022-08-28          ec2-35-157-61-61.eu-central-1.compute.amazonaws.com					
35.160.248.88                             2022-08-28          ec2-35-160-248-88.us-west-2.compute.amazonaws.com					
35.161.21.117                             2022-08-28          ec2-35-161-21-117.us-west-2.compute.amazonaws.com					
35.162.128.218                            2022-08-28          ec2-35-162-128-218.us-west-2.compute.amazonaws.com					
35.86.109.49                              2022-08-28          ec2-35-86-109-49.us-west-2.compute.amazonaws.com					
35.86.160.6                               2022-08-28          ec2-35-86-160-6.us-west-2.compute.amazonaws.com					
35.87.132.237                             2022-08-28          ec2-35-87-132-237.us-west-2.compute.amazonaws.com										
35.87.154.18                              2022-06-28          added, active			
35.87.22.55                               2022-08-28          ec2-35-87-22-55.us-west-2.compute.amazonaws.com					
35.89.74.29                               2022-08-28          ec2-35-89-74-29.us-west-2.compute.amazonaws.com					
35.92.87.236                              2022-08-28          ec2-35-92-87-236.us-west-2.compute.amazonaws.com					
52.13.103.75                              2022-08-28          ec2-52-13-103-75.us-west-2.compute.amazonaws.com								
52.15.254.228                             ?                   ?				
52.15.87.53                               2022-08-28          ec2-52-15-87-53.us-east-2.compute.amazonaws.com					
52.24.73.83                               2022-08-28          ec2-52-24-73-83.us-west-2.compute.amazonaws.com					
52.25.122.42                              2022-08-28          ec2-52-25-122-42.us-west-2.compute.amazonaws.com					
52.25.138.85                              2022-08-28          ec2-52-25-138-85.us-west-2.compute.amazonaws.com					
52.28.236.88                              2022-08-28          ec2-52-28-236-88.eu-central-1.compute.amazonaws.com					
52.39.4.59                                2022-08-28          ec2-52-39-4-59.us-west-2.compute.amazonaws.com													
52.41.228.68                              ?                   ?								
52.58.118.98                              ?                   ?			
52.59.65.64                               2022-08-28          ec2-52-59-65-64.eu-central-1.compute.amazonaws.com					
54.184.23.186                             2022-08-28          ec2-54-184-23-186.us-west-2.compute.amazonaws.com					
54.185.185.210                            2022-08-28          ec2-54-185-185-210.us-west-2.compute.amazonaws.com					
